,player,comp,round,date,venue,opp,pos,min,type,assisted,Year,match period
0,Ronaldo,Liga NOS,6,2002-10-07,H,Moreirense ,RW,34,Solo,No Assist,2002,First Half
1,Ronaldo,Liga NOS,6,2002-10-07,H,Moreirense ,RW,90,Solo,No Assist,2002,Second Half
2,Ronaldo,Liga NOS,8,2002-10-26,A,Boavista,RW,88,Solo,Carlos Martins,2002,Second Half
3,Ronaldo,Taça de Portugal Placard,Fourth Round,2002-11-24,H,Estarreja,RW,67,Left-footed shot,César Prates,2002,Second Half
4,Ronaldo,Taça de Portugal Placard,Fifth Round,2002-12-18,H,Oliv. Hospital,RW,13,Solo,No Assist,2002,First Half
5,Ronaldo,Premier League,11,2003-11-01,H,Portsmouth,RW,80,Right-footed shot,No Assist,2003,Second Half
6,Ronaldo,FA Cup,Fifth Round,2004-02-14,H,Man City,RW,74,Tap-in,Ryan Giggs,2004,Second Half
7,Ronaldo,Premier League,29,2004-03-20,H,Spurs,RW,89,Right-footed shot,No Assist,2004,Second Half
8,Ronaldo,Premier League,32,2004-04-10,A,Birmingham,RW,60,Header,Ryan Giggs,2004,Second Half
9,Ronaldo,Premier League,38,2004-05-15,A,Aston Villa,RW,4,Right-footed shot,No Assist,2004,First Half
10,Ronaldo,FA Cup,Final,2004-05-22,H,Millwall,RW,44,Header,Gary Neville,2004,First Half
11,Ronaldo,Premier League,16,2004-12-04,H,Southampton,RW,87,Right-footed shot,Gary Neville,2004,Second Half
12,Ronaldo,FA Cup,Third Round,2005-01-19,A,Exeter City,RW,9,Solo,Paul Scholes,2005,First Half
13,Ronaldo,Premier League,24,2005-01-22,H,Aston Villa,RW,8,Right-footed shot,Louis Saha,2005,First Half
14,Ronaldo,Premier League,25,2005-02-01,A,Arsenal,RW,54,Left-footed shot,Ryan Giggs,2005,Second Half
15,Ronaldo,Premier League,25,2005-02-01,A,Arsenal,RW,58,Tap-in,Ryan Giggs,2005,Second Half
16,Ronaldo,FA Cup,Fifth Round,2005-02-19,A,Everton,RW,58,Tap-in,Paul Scholes,2005,Second Half
17,Ronaldo,FA Cup,Sixth Round,2005-03-12,A,Southampton,RW,451,Left-footed shot,Ruud van Nistelrooy,2005,First Half-Additional Time
18,Ronaldo,Premier League,30,2005-03-19,H,Fulham,RW,21,Right-footed shot,Roy Keane,2005,First Half
